created_at,text
12/6/2021 7:23,"RT @LDSAgency: 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog   
@BernieSanders…"
12/6/2021 7:23,RT @JesseKellyDC: #BlackLivesMatter is responsible for more black deaths in the just the last couple years than the KKK has amassed for the…
12/6/2021 7:22,"RT @KeshaRam: For too long, our foreign policy has not fully acknowledged that #BlackLivesMatter. We said after the Rwandan genocide that w…"
12/6/2021 7:22,"RT @KeshaRam: For too long, our foreign policy has not fully acknowledged that #BlackLivesMatter. We said after the Rwandan genocide that w…"
12/6/2021 7:22,"RT @LDSAgency: Socialist Alternative @SocialistAlt    🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@Sea…"
12/6/2021 7:22,"RT @LDSAgency: 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog   
@BernieSanders…"
12/6/2021 7:22,"@SocialistAlt    🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA… https://t.co/KwkQzbaz3s"
12/6/2021 7:22,"RT @LDSAgency: 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog   
@BernieSanders…"
12/6/2021 7:22,"RT @LDSAgency: Seattle Times Attacks Democracy | Socialist Alternative 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @Th…"
12/6/2021 7:22,"RT @LDSAgency: 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog   
@BernieSanders…"
12/6/2021 7:22,"RT @LDSAgency: 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog   
@BernieSanders…"
12/6/2021 7:22,"RT @LDSAgency: 🚨 Vote ‘NO’ immediately to #KeepKshama! @cmkshama #TeamKshama  
 @TheStranger   
@SeattleDSA 
@seabikeblog   
@BernieSanders…"
12/6/2021 7:22,"just to be clear, when we say #BlackLivesMatter  we mean ALL #BlackLivesMatter which includes #women https://t.co/uHdh6ZDBTG"
